SUBJECT,CONFIGURATION,SEED,ALGORITHM,PROBE_ENABLED,COVERAGE,COVERED_BRANCHES,TOTAL_BRANCHES,BRANCH_COVERAGE,COVERED_LINES,TOTAL_LINES,LINE_COVERAGE,COVERED_FUNCTIONS,TOTAL_FUNCTIONS,FUNCTION_COVERAGE,COVERED_PROBES,TOTAL_PROBES,PROBE_COVERAGE,SEARCH_TIME,ITERATIONS,ID
MetaCoin2.sol,,25,DynaMOSA,true,0.8333333333333334,1,2,0.5,8,8,1,4,4,1,0,0,0,915.3110001087189,13,111
WolfStakingRewards.sol,,134,DynaMOSA,true,0.4090909090909091,5,14,0.35714285714285715,46,98,0.46938775510204084,24,38,0.631578947368421,18,40,0.45,842.1059999465942,13,51
MisesLegacyPool.sol,,674,DynaMOSA,true,0.68,3,10,0.3,20,44,0.45454545454545453,10,11,0.9090909090909091,6,6,1,877.2660000324249,14,51
DSP.sol,,880,DynaMOSA,true,0.6985294117647058,3,18,0.16666666666666666,102,154,0.6623376623376623,53,64,0.828125,48,60,0.8,841.9140000343323,9,51
JGNRewards.sol,,750,DynaMOSA,true,0.7307692307692307,3,8,0.375,23,40,0.575,13,14,0.9285714285714286,6,6,1,856.7510001659393,15,51
DMONDETHRewards.sol,,423,DynaMOSA,true,0.5934065934065934,7,14,0.5,65,105,0.6190476190476191,36,47,0.7659574468085106,19,34,0.5588235294117647,872.4279999732971,13,51
RIT.sol,,929,DynaMOSA,true,0.6415094339622641,0,2,0,41,66,0.6212121212121212,20,29,0.6896551724137931,14,22,0.6363636363636364,900.2690000534058,17,51
POWToken.sol,,265,DynaMOSA,true,0.24561403508771928,5,26,0.19230769230769232,39,209,0.18660287081339713,21,63,0.3333333333333333,22,86,0.2558139534883721,895.0750000476837,10,51
afiController.sol,,488,DynaMOSA,true,0.4,0,10,0,43,102,0.4215686274509804,22,34,0.6470588235294118,33,56,0.5892857142857143,884.4249999523163,34,51
MetaCoin2.sol,,885,DynaMOSA,true,0.8333333333333334,1,2,0.5,8,8,1,4,4,1,0,0,0,885.2439999580383,13,51
Core_Fi_V3.sol,,271,DynaMOSA,true,0.75,2,4,0.5,15,22,0.6818181818181818,7,8,0.875,0,0,0,896.492999792099,19,51
FreakCoin.sol,,74,Random,false,0.782608695652174,5,10,0.5,56,74,0.7567567567567568,13,13,1,9,10,0.9,900.9370000362396,166,26
Straight_Fire_Finance.sol,,651,Random,false,0.75,2,4,0.5,15,22,0.6818181818181818,7,8,0.875,0,0,0,902.4719998836517,207,26
CourtFarming_HTStake.sol,,582,Random,false,0.6153846153846154,12,32,0.375,73,109,0.6697247706422018,20,20,1,4,4,1,900.9140000343323,161,26
MoshiachCoinStaking.sol,,168,Random,false,0.3877551020408163,4,20,0.2,24,88,0.2727272727272727,16,30,0.5333333333333333,7,22,0.3181818181818182,900.039999961853,196,26
TimeMiner.sol,,471,Random,false,0.8,4,6,0.6666666666666666,79,90,0.8777777777777778,19,19,1,16,18,0.8888888888888888,900.279000043869,169,26
GAZ_ERC20.sol,,432,Random,false,0.6923076923076923,2,2,1,15,26,0.5769230769230769,7,11,0.6363636363636364,7,22,0.3181818181818182,901.0009999275208,209,26
BancorV2_ZapIn_General_V1_1.sol,,393,Random,false,0.2962962962962963,1,18,0.05555555555555555,30,118,0.2542372881355932,19,39,0.48717948717948717,8,42,0.19047619047619047,900.2050001621246,122,26
Rootkit_finance.sol,,769,Random,false,0.75,2,4,0.5,15,22,0.6818181818181818,7,8,0.875,0,0,0,901.2379999160767,191,26
MetaCoin.sol,,822,Random,false,0.5,6,8,0.75,7,9,0.7777777777777778,2,2,1,0,0,0,901.055999994278,167,26
UFragments.sol,,25,Random,false,0.36065573770491804,5,28,0.17857142857142858,42,136,0.3088235294117647,20,35,0.5714285714285714,5,34,0.14705882352941177,901.694000005722,301,26
GreenMarkTrust.sol,,832,DynaMOSA,true,0.75,1,2,0.5,27,37,0.7297297297297297,8,8,1,10,14,0.7142857142857143,901.0599999427795,17,123
XenoFelix.sol,,168,DynaMOSA,true,0.5597014925373134,4,18,0.2222222222222222,82,151,0.543046357615894,41,63,0.6507936507936508,37,60,0.6166666666666667,898.5670001506805,11,123
OnXFinance.sol,,782,DynaMOSA,true,0.1650485436893204,5,26,0.19230769230769232,28,105,0.26666666666666666,7,37,0.1891891891891892,9,40,0.225,878.944000005722,12,123
Rexona.sol,,983,DynaMOSA,true,0.42857142857142855,6,22,0.2727272727272727,28,39,0.717948717948718,7,8,0.875,9,12,0.75,911.210000038147,14,123
TetherToken.sol,,25,DynaMOSA,true,0.6226415094339622,6,12,0.5,41,51,0.803921568627451,11,11,1,27,30,0.9,854.8600001335144,13,123
