SUBJECT,CONFIGURATION,SEED,ALGORITHM,PROBE_ENABLED,COVERAGE,COVERED_BRANCHES,TOTAL_BRANCHES,BRANCH_COVERAGE,COVERED_LINES,TOTAL_LINES,LINE_COVERAGE,COVERED_FUNCTIONS,TOTAL_FUNCTIONS,FUNCTION_COVERAGE,COVERED_PROBES,TOTAL_PROBES,PROBE_COVERAGE,SEARCH_TIME,ITERATIONS,ID
TimeMiner.sol,,213,DynaMOSA,false,0.92,4,6,0.6666666666666666,79,90,0.8777777777777778,19,19,1,16,18,0.8888888888888888,1681.308000087738,17,188,157
UFragments.sol,,704,DynaMOSA,false,0.3968253968253968,5,28,0.17857142857142858,42,136,0.3088235294117647,20,35,0.5714285714285714,5,34,0.14705882352941177,1741.4829998016357,36,403,157
CourtFarming_HTStake.sol,,725,DynaMOSA,false,0.6346153846153846,13,32,0.40625,73,109,0.6697247706422018,20,20,1,4,4,1,1662.279000043869,14,164,157
Straight_Fire_Finance.sol,,368,DynaMOSA,false,0.9166666666666666,3,4,0.75,16,22,0.7272727272727273,7,8,0.875,0,0,0,1721.5240001678467,16,184,157
FreakCoin.sol,,722,DynaMOSA,false,0.9565217391304348,6,10,0.6,57,74,0.7702702702702703,13,13,1,9,10,0.9,1666.1559998989105,14,160,157
MoshiachCoinStaking.sol,,808,DynaMOSA,false,0.4,4,20,0.2,24,88,0.2727272727272727,16,30,0.5333333333333333,7,22,0.3181818181818182,1709.3140001296997,21,231,157
PRDZstakingV2.sol,,473,DynaMOSA,true,0.43373493975903615,5,26,0.19230769230769232,53,136,0.3897058823529412,26,39,0.6666666666666666,7,18,0.3888888888888889,1674.62700009346,15,173,48
Wallet.sol,,937,DynaMOSA,true,0.6666666666666666,0,0,0,2,6,0.3333333333333333,2,2,1,2,4,0.5,1773.5220000743866,30,331,48
ZAD.sol,,855,DynaMOSA,true,0.6415094339622641,0,2,0,41,66,0.6212121212121212,20,29,0.6896551724137931,14,22,0.6363636363636364,1732.6989998817444,25,279,48
SLTDETHlpReward.sol,,362,DynaMOSA,true,0.6210526315789474,7,14,0.5,65,105,0.6190476190476191,36,47,0.7659574468085106,19,34,0.5588235294117647,1684.675999879837,15,175,48
Vat.sol,,768,DynaMOSA,true,0.5555555555555556,4,8,0.5,59,98,0.6020408163265306,26,29,0.896551724137931,33,62,0.532258064516129,1713.4450001716614,20,222,48
FrogDAOGovernanceRewards.sol,,389,DynaMOSA,true,0.6428571428571429,5,10,0.5,30,56,0.5357142857142857,13,16,0.8125,8,16,0.5,1686.625,17,191,48
YRX3.sol,,772,DynaMOSA,true,0.61,7,18,0.3888888888888889,65,108,0.6018518518518519,35,48,0.7291666666666666,18,34,0.5294117647058824,1688.2450001239777,15,172,48
EqFinanceStaking.sol,,906,DynaMOSA,true,0.4027777777777778,4,20,0.2,33,88,0.375,18,30,0.6,10,22,0.45454545454545453,1777.154000043869,20,229,48
WOLF.sol,,179,DynaMOSA,true,0.40476190476190477,5,22,0.22727272727272727,28,39,0.717948717948718,7,8,0.875,9,12,0.75,1688.3450000286102,18,201,48
