SUBJECT,CONFIGURATION,SEED,ALGORITHM,PROBE_ENABLED,COVERAGE,COVERED_BRANCHES,TOTAL_BRANCHES,BRANCH_COVERAGE,COVERED_LINES,TOTAL_LINES,LINE_COVERAGE,COVERED_FUNCTIONS,TOTAL_FUNCTIONS,FUNCTION_COVERAGE,COVERED_PROBES,TOTAL_PROBES,PROBE_COVERAGE,SEARCH_TIME,ITERATIONS,ID
BTCParamV2.sol,,897,DynaMOSA,false,0.19230769230769232,0,12,0,16,56,0.2857142857142857,5,16,0.3125,6,14,0.42857142857142855,1759.4399998188019,36,34
CourtFarming_RoomLPStake.sol,,345,DynaMOSA,false,0.6153846153846154,12,32,0.375,73,108,0.6759259259259259,20,20,1,4,4,1,1785.380000114441,27,43
ANRXToken.sol,,546,DynaMOSA,false,0.4782608695652174,6,12,0.5,34,44,0.7727272727272727,11,11,1,13,16,0.8125,1835.2469999790192,25,43
Baz.sol,,120,DynaMOSA,false,0.6,6,8,0.75,12,16,0.75,2,2,1,0,0,0,1858.3170001506805,27,43
FrogDAOGovernanceRewards.sol,,791,Random,false,0.7391304347826086,5,10,0.5,28,56,0.5,13,16,0.8125,6,16,0.375,1809.7569999694824,304,101
EqFinanceStaking.sol,,505,Random,false,0.3877551020408163,4,20,0.2,24,88,0.2727272727272727,16,30,0.5333333333333333,7,22,0.3181818181818182,1800.5579998493195,382,101
PRDZstakingV2.sol,,999,Random,false,0.46875,5,26,0.19230769230769232,53,136,0.3897058823529412,26,39,0.6666666666666666,7,18,0.3888888888888889,1803.6399998664856,306,101
BAE.sol,,311,Random,false,0.35714285714285715,0,6,0,9,50,0.18,5,8,0.625,12,36,0.3333333333333333,1804.78400015831,173,95
BTCParamV2.sol,,825,Random,false,0.19230769230769232,0,12,0,16,56,0.2857142857142857,5,16,0.3125,6,14,0.42857142857142855,1802.420000076294,417,95
Controller.sol,,243,Random,false,0.7037037037037037,0,8,0,38,70,0.5428571428571428,19,19,1,32,34,0.9411764705882353,1801.8799998760223,330,95
EqFinanceStaking.sol,,312,Random,false,0.3877551020408163,4,20,0.2,24,88,0.2727272727272727,16,30,0.5333333333333333,7,22,0.3181818181818182,1806.8229999542236,374,71
FrogDAOGovernanceRewards.sol,,367,Random,false,0.7391304347826086,5,10,0.5,31,56,0.5535714285714286,13,16,0.8125,10,16,0.625,1804.0240001678467,296,71
PRDZstakingV2.sol,,460,Random,false,0.46875,5,26,0.19230769230769232,53,136,0.3897058823529412,26,39,0.6666666666666666,7,18,0.3888888888888889,1806.7560000419617,292,71
GardenContractV2.sol,,143,Random,false,0.32978723404255317,8,62,0.12903225806451613,51,197,0.25888324873096447,25,32,0.78125,0,22,0,1802.6150000095367,230,2
Fomp.sol,,814,Random,false,0.6511627906976745,9,24,0.375,66,92,0.717391304347826,19,19,1,17,20,0.85,1802.704999923706,397,2
FairStockEquity.sol,,112,Random,false,0.78125,1,6,0.16666666666666666,58,120,0.48333333333333334,26,28,0.9285714285714286,29,48,0.6041666666666666,1805.5769999027252,213,2
DMONDETHRewards.sol,,323,DynaMOSA,false,0.7017543859649122,7,14,0.5,67,105,0.638095238095238,37,47,0.7872340425531915,19,34,0.5588235294117647,1751.3670001029968,25,139
DSP.sol,,209,DynaMOSA,false,0.7105263157894737,5,18,0.2777777777777778,105,154,0.6818181818181818,55,64,0.859375,47,60,0.7833333333333333,1731.736999988556,18,139
Core_Fi_V3.sol,,667,DynaMOSA,false,0.8333333333333334,2,4,0.5,15,22,0.6818181818181818,7,8,0.875,0,0,0,1809.2469999790192,29,139
BlueICE.sol,,111,Random,false,0.6666666666666666,7,14,0.5,67,117,0.5726495726495726,31,43,0.7209302325581395,20,38,0.5263157894736842,1807.5380001068115,293,8
DJCoin.sol,,321,Random,false,0.8275862068965517,3,6,0.5,69,91,0.7582417582417582,22,25,0.88,18,28,0.6428571428571429,1803.6259999275208,287,8
DatrixoEquityToken.sol,,670,Random,false,0.6388888888888888,8,22,0.36363636363636365,46,62,0.7419354838709677,14,16,0.875,25,28,0.8928571428571429,1802.319000005722,472,8
Liquidity_v8.sol,,8,DynaMOSA,true,0.32989690721649484,2,18,0.1111111111111111,34,126,0.2698412698412698,18,33,0.5454545454545454,14,48,0.2916666666666667,1724.3099999427795,24,144
Final.sol,,190,DynaMOSA,true,0.17475728155339806,6,26,0.23076923076923078,28,105,0.26666666666666666,7,37,0.1891891891891892,9,40,0.225,1789.4920001029968,22,144
BirdOracle.sol,,243,DynaMOSA,true,0.5853658536585366,15,28,0.5357142857142857,44,66,0.6666666666666666,9,9,1,0,2,0,1801.0360000133514,40,144
Baz.sol,,366,DynaMOSA,false,0.6,4,8,0.5,9,16,0.5625,2,2,1,0,0,0,1770.2170000076294,31,133
ANRXToken.sol,,889,DynaMOSA,false,0.4782608695652174,6,12,0.5,34,44,0.7727272727272727,11,11,1,13,16,0.8125,1779.7170000076294,25,133
CourtFarming_RoomLPStake.sol,,651,DynaMOSA,false,0.6153846153846154,12,32,0.375,73,108,0.6759259259259259,20,20,1,4,4,1,1781.9189999103546,26,133
CourtFarming_RoomLPStake.sol,,390,DynaMOSA,true,0.6071428571428571,12,32,0.375,73,108,0.6759259259259259,20,20,1,4,4,1,1752,26,75
Baz.sol,,387,DynaMOSA,true,0.6,4,8,0.5,9,16,0.5625,2,2,1,0,0,0,1821.619999885559,33,75
ANRXToken.sol,,659,DynaMOSA,true,0.6153846153846154,6,12,0.5,35,44,0.7954545454545454,11,11,1,15,16,0.9375,1867.901999950409,26,75
GardenContractV2.sol,,589,DynaMOSA,false,0.30851063829787234,7,62,0.11290322580645161,49,197,0.24873096446700507,23,32,0.71875,0,22,0,1757.760999917984,21,91
FairStockEquity.sol,,540,DynaMOSA,false,0.71875,1,6,0.16666666666666666,53,120,0.44166666666666665,24,28,0.8571428571428571,21,48,0.4375,1802.2200000286102,19,91
Fomp.sol,,264,DynaMOSA,false,0.6511627906976745,9,24,0.375,66,92,0.717391304347826,19,19,1,15,20,0.75,1819.7149999141693,36,91
DMONDETHRewards.sol,,457,Random,false,0.7017543859649122,7,14,0.5,67,105,0.638095238095238,37,47,0.7872340425531915,19,34,0.5588235294117647,1801.875,278,140
DSP.sol,,844,Random,false,0.6973684210526315,4,18,0.2222222222222222,104,154,0.6753246753246753,55,64,0.859375,47,60,0.7833333333333333,1803.5190000534058,222,140
Core_Fi_V3.sol,,550,Random,false,0.75,2,4,0.5,15,22,0.6818181818181818,7,8,0.875,0,0,0,1801.8210000991821,371,140
Dynamic.sol,,221,Random,false,0.75,1,2,0.5,3,4,0.75,2,2,1,0,0,0,1804.7060000896454,444,137
AntiBaseProtocol.sol,,40,Random,false,0.7708333333333334,3,8,0.375,85,98,0.8673469387755102,39,42,0.9285714285714286,24,26,0.9230769230769231,1803.156000137329,309,137
