Group.1,Group.2,TOTAL_COVERAGE,FUNCTION_COVERAGE,BRANCH_COVERAGE,LINE_COVERAGE,PROBE_COVERAGE,ITERATIONS,TOTAL_PROBES
GAZ_ERC20.sol,DynaMOSA_FALSE,0.45714285714285713,0.6363636363636364,1,0.5769230769230769,0.3181818181818182,31.4,22
GFC.sol,DynaMOSA_FALSE,0.7916666666666666,1,0.5,0.7297297297297297,0.7142857142857143,1,14
GreenMarkTrust.sol,DynaMOSA_FALSE,0.7916666666666666,1,0.5,0.7297297297297297,0.7142857142857143,3.5,14
GUMARewards.sol,DynaMOSA_FALSE,0.5581395348837209,0.6818181818181818,0.3333333333333333,0.5604395604395604,0.4666666666666667,26,30
JGNRewards.sol,DynaMOSA_FALSE,0.7857142857142857,0.9285714285714286,0.375,0.575,1,28.2,6
KPLAY.sol,DynaMOSA_FALSE,0.7722222222222223,0.8913043478260869,0.16666666666666666,0.7338709677419355,0.808,26,50
LIBERAPAY.sol,DynaMOSA_FALSE,0.6752136752136753,0.8717948717948718,0.17857142857142858,0.601418439716312,0.8,23,50
Liquidity_v8.sol,DynaMOSA_FALSE,0.3434343434343434,0.5454545454545454,0.1111111111111111,0.2698412698412698,0.2916666666666667,25.4,48
LpStaking.sol,DynaMOSA_FALSE,0.3157894736842105,0.4583333333333333,0.08333333333333333,0.2805755395683453,0.2857142857142857,24.4,42
LUP.sol,DynaMOSA_FALSE,0.585,0.8333333333333334,0.16666666666666666,0.5877551020408163,0.64,20.4,10
MarsStakingRewards.sol,DynaMOSA_FALSE,0.5242718446601942,0.6653061224489796,0.3,0.4678260869565217,0.4238095238095238,23.8,42
MetaCoin.sol,DynaMOSA_FALSE,0.78,1,0.725,0.7555555555555555,0,22.4,0
MetaCoin2.sol,DynaMOSA_FALSE,0.8333333333333334,1,0.5,1,0,20.8,0
MIMOToken.sol,DynaMOSA_FALSE,0.875,1,0.5,0.5813953488372093,0.8333333333333334,24.2,12
MisesLegacyPool.sol,DynaMOSA_FALSE,0.7037037037037037,0.9090909090909091,0.3,0.45454545454545453,1,28.4,6
MoshiachCoinStaking.sol,DynaMOSA_FALSE,0.375,0.5333333333333333,0.2,0.2727272727272727,0.3181818181818182,35.6,22
NAL.sol,DynaMOSA_FALSE,0.762589928057554,0.8769230769230769,0.26666666666666666,0.704,0.7892857142857143,17.6,56
NasiLiquidityPoolFactory.sol,DynaMOSA_FALSE,0.1377049180327869,0.16981132075471697,0.036,0.138125,0.15681818181818183,10.4,88
OnXFinance.sol,DynaMOSA_FALSE,0.20776699029126214,0.1891891891891892,0.2076923076923077,0.26666666666666666,0.225,22.2,40
PACT.sol,DynaMOSA_FALSE,0.45384615384615384,0.84,0,0.31666666666666665,0.2125,29.4,32
PlasmaswapPair.sol,DynaMOSA_FALSE,0.22033898305084745,0.5714285714285714,0,0.20202020202020202,0.22727272727272727,28.8,22
POWToken.sol,DynaMOSA_FALSE,0.3097142857142857,0.4253968253968254,0.2230769230769231,0.2229665071770335,0.2511627906976744,19.2,86
PRDZstakingV2.sol,DynaMOSA_FALSE,0.4578313253012048,0.6666666666666666,0.19230769230769232,0.3897058823529412,0.3888888888888889,27.4,18
QuickToken.sol,DynaMOSA_FALSE,0.6430769230769231,0.6956521739130435,0.4,0.6552631578947369,0.6647058823529413,31.6,34
RainbowRAK.sol,DynaMOSA_FALSE,0.5625,0.7142857142857143,0.42857142857142855,0.5217391304347826,0.45,26,40
Reentrance.sol,DynaMOSA_FALSE,0.3076923076923077,0.36666666666666664,0.3,0.3,0.24000000000000002,30.8,10
Revive.sol,DynaMOSA_FALSE,0.7083333333333334,0.868421052631579,0.4090909090909091,0.6788990825688074,0.7222222222222222,27.2,36
Rexona.sol,DynaMOSA_FALSE,0.5285714285714286,0.875,0.2818181818181818,0.717948717948718,0.75,24.8,12
REXUNIFINANCE.sol,DynaMOSA_FALSE,0.7538461538461538,0.9090909090909091,0.5,0.6896551724137931,0.7307692307692308,33,52
RIT.sol,DynaMOSA_FALSE,0.630188679245283,0.6965517241379311,0,0.5606060606060606,0.6,33.4,22
Rootkit_finance.sol,DynaMOSA_FALSE,0.8333333333333334,0.875,0.75,0.7272727272727273,0,30,0
SALESCONTRACT.sol,DynaMOSA_FALSE,0.25,1,0,0.24561403508771928,0.08333333333333333,27.4,24
SLTDETHlpReward.sol,DynaMOSA_FALSE,0.6610526315789473,0.7829787234042553,0.5,0.6361904761904762,0.5588235294117647,24.4,34
SLTDStaking.sol,DynaMOSA_FALSE,0.5268817204301075,0.6170212765957447,0.3333333333333333,0.47,0.47058823529411764,26.6,34
SSTRewards.sol,DynaMOSA_FALSE,0.7857142857142857,0.9285714285714286,0.375,0.575,1,29.6,6
StakingDextoken.sol,DynaMOSA_FALSE,0.7586206896551724,0.9259259259259259,0.4,0.5763440860215054,0.74,26.2,50
Straight_Fire_Finance.sol,DynaMOSA_FALSE,0.8333333333333334,0.875,0.75,0.7272727272727273,0,33.2,0
TetherToken.sol,DynaMOSA_FALSE,0.8075471698113208,1,0.5,0.7725490196078432,0.86,24.8,30
ThriftToken.sol,DynaMOSA_FALSE,0.7476923076923077,0.9090909090909091,0.5,0.7034482758620689,0.7230769230769231,33.4,52
TimeMiner.sol,DynaMOSA_FALSE,0.9069767441860465,1,0.6666666666666666,0.8577777777777778,0.8888888888888888,36,18
Token50X100.sol,DynaMOSA_FALSE,0.32380952380952377,0.61,0.09444444444444444,0.3506849315068493,0.26,29.2,50
TokenDispatch.sol,DynaMOSA_FALSE,0.21212121212121213,0.7,0,0.2,0.20588235294117646,94.75,34
TPA.sol,DynaMOSA_FALSE,0.7467625899280576,0.8646153846153847,0.25555555555555554,0.6839999999999999,0.7678571428571428,18.2,56
UFragments.sol,DynaMOSA_FALSE,0.30927835051546393,0.5714285714285714,0.17857142857142858,0.3088235294117647,0.14705882352941177,60.6,34
UNIWHALE_ERC20.sol,DynaMOSA_FALSE,0.4090909090909091,0.875,0,0.4146341463414634,0.25,40.8,8
Vat.sol,DynaMOSA_FALSE,0.694949494949495,0.9586206896551724,0.5,0.6551020408163265,0.5967741935483871,30.2,62
vnxManager.sol,DynaMOSA_FALSE,0.6875,0.95,0,0.6976744186046512,0.5384615384615384,38.25,26
Voting.sol,DynaMOSA_FALSE,0.12085106382978723,0.2,0,0.0992,0.06595744680851064,13.2,94
